,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
130,"{'lon': 86.72, 'lat': 56.8}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 17.64, 'feels_like': 7.99, 'temp_min': 17.64, 'temp_max': 17.64, 'pressure': 1023, 'humidity': 94, 'sea_level': 1023, 'grnd_level': 1007}",,"{'speed': 7.67, 'deg': 210}",{'all': 88},1578281967,"{'country': 'RU', 'sunrise': 1578278872, 'sunset': 1578304133}",25200,1484892,Bogoslovka,200,,
131,"{'lon': -25.67, 'lat': 37.73}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 64.4, 'feels_like': 61.39, 'temp_min': 64.4, 'temp_max': 64.4, 'pressure': 1024, 'humidity': 93}",8000.0,"{'speed': 12.75, 'deg': 230}",{'all': 75},1578281967,"{'type': 1, 'id': 6899, 'country': 'PT', 'sunrise': 1578301095, 'sunset': 1578335874}",-3600,3372783,Ponta Delgada,200,,
132,"{'lon': 57.76, 'lat': -20.21}","[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]",stations,"{'temp': 75.61, 'feels_like': 78.08, 'temp_min': 75.2, 'temp_max': 75.99, 'pressure': 1012, 'humidity': 94}",2000.0,"{'speed': 12.75, 'deg': 60}",{'all': 75},1578281968,"{'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1578274509, 'sunset': 1578322401}",14400,1106643,Quatre Cocos,200,,
133,"{'lon': -57.88, 'lat': -21.7}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 80.35, 'feels_like': 79.07, 'temp_min': 80.35, 'temp_max': 80.35, 'pressure': 1002, 'humidity': 40, 'sea_level': 1002, 'grnd_level': 992}",,"{'speed': 4.36, 'deg': 18}",{'all': 0},1578281968,"{'country': 'BR', 'sunrise': 1578215660, 'sunset': 1578263921}",-14400,3452712,Porto Murtinho,200,,
134,"{'lon': 3.91, 'lat': 46.42}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 28.17, 'feels_like': 22.57, 'temp_min': 25, 'temp_max': 30.99, 'pressure': 1030, 'humidity': 92}",7000.0,"{'speed': 2.24, 'deg': 80}",{'all': 8},1578281968,"{'type': 1, 'id': 6499, 'country': 'FR', 'sunrise': 1578295649, 'sunset': 1578327117}",3600,2980080,Saint-Francois,200,,
135,"{'lon': -114.38, 'lat': 62.45}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': -18.18, 'feels_like': -29.65, 'temp_min': -18.4, 'temp_max': -18, 'pressure': 1011, 'humidity': 75}",24140.0,"{'speed': 8.05, 'deg': 340}",{'all': 5},1578281968,"{'type': 1, 'id': 1007, 'country': 'CA', 'sunrise': 1578243741, 'sunset': 1578262969}",-25200,6185377,Yellowknife,200,,
136,"{'lon': -6.55, 'lat': 41.42}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 34.38, 'feels_like': 30.22, 'temp_min': 34.38, 'temp_max': 34.38, 'pressure': 1029, 'humidity': 84, 'sea_level': 1029, 'grnd_level': 951}",,"{'speed': 0.56, 'deg': 265}",{'all': 0},1578281968,"{'country': 'PT', 'sunrise': 1578297146, 'sunset': 1578330643}",0,2737599,Saldanha,200,,
137,"{'lon': 38.73, 'lat': 8.96}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 53.6, 'feels_like': 48.18, 'temp_min': 53.6, 'temp_max': 53.6, 'pressure': 1027, 'humidity': 76}",10000.0,"{'speed': 8.05, 'deg': 70}",{'all': 20},1578281969,"{'type': 1, 'id': 2453, 'country': 'ET', 'sunrise': 1578282107, 'sunset': 1578323941}",10800,344979,Lebu,200,,
138,"{'lon': 16.82, 'lat': -6.48}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 67.86, 'feels_like': 73.33, 'temp_min': 67.86, 'temp_max': 67.86, 'pressure': 1012, 'humidity': 96, 'sea_level': 1012, 'grnd_level': 928}",,"{'speed': 0.98, 'deg': 20}",{'all': 100},1578281969,"{'country': 'CD', 'sunrise': 1578285817, 'sunset': 1578330750}",3600,2315026,Kasongo-Lunda,200,,
139,"{'lon': -28.7, 'lat': 38.52}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 60.04, 'feels_like': 53.19, 'temp_min': 60.04, 'temp_max': 60.04, 'pressure': 1022, 'humidity': 93, 'sea_level': 1022, 'grnd_level': 998}",,"{'speed': 16.71, 'deg': 220}",{'all': 100},1578281969,"{'country': 'PT', 'sunrise': 1578301953, 'sunset': 1578336471}",-3600,3372707,Ribeira Grande,200,,
140,"{'lon': -71.21, 'lat': 42.34}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 28.42, 'feels_like': 17.28, 'temp_min': 26.01, 'temp_max': 30.99, 'pressure': 1010, 'humidity': 79}",,"{'speed': 11.41, 'deg': 300}",{'all': 27},1578281744,"{'type': 1, 'id': 4967, 'country': 'US', 'sunrise': 1578226440, 'sunset': 1578259542}",-18000,4945283,Newton,200,,
141,"{'lon': -89.83, 'lat': 13.59}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 69.01, 'feels_like': 71.01, 'temp_min': 69.01, 'temp_max': 69.01, 'pressure': 1022, 'humidity': 72}",,"{'speed': 1.99, 'deg': 114, 'gust': 5.99}",{'all': 8},1578281743,"{'type': 3, 'id': 2016335, 'country': 'SV', 'sunrise': 1578227027, 'sunset': 1578267895}",-21600,3587498,Acajutla,200,,
142,"{'lon': 1.45, 'lat': 52.47}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 45.18, 'feels_like': 36.1, 'temp_min': 44.01, 'temp_max': 46.4, 'pressure': 1025, 'humidity': 75}",10000.0,"{'speed': 11.41, 'deg': 210}",{'all': 3},1578281969,"{'type': 1, 'id': 1467, 'country': 'GB', 'sunrise': 1578297814, 'sunset': 1578326134}",0,2656067,Broome,200,,
143,"{'lon': -115.76, 'lat': 40.83}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 30.11, 'feels_like': 21.78, 'temp_min': 28, 'temp_max': 33.8, 'pressure': 1030, 'humidity': 64}",16093.0,"{'speed': 5.82, 'deg': 210}",{'all': 90},1578281801,"{'type': 1, 'id': 3961, 'country': 'US', 'sunrise': 1578236850, 'sunset': 1578270522}",-28800,5703670,Elko,200,,
144,"{'lon': 172.79, 'lat': 3.07}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",model,"{'temp': 85.01, 'feels_like': 86.25, 'temp_min': 85.01, 'temp_max': 85.01, 'pressure': 1005, 'humidity': 75, 'sea_level': 1005, 'grnd_level': 1005}",,"{'speed': 17.43, 'deg': 95}",{'all': 100},1578281902,"{'country': 'KI', 'sunrise': 1578249331, 'sunset': 1578292349}",43200,2110227,Butaritari,200,{'3h': 11.06},
145,"{'lon': 147.16, 'lat': -9.47}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 91.4, 'feels_like': 97.3, 'temp_min': 91.4, 'temp_max': 91.4, 'pressure': 1008, 'humidity': 55}",10000.0,"{'speed': 5.82, 'deg': 220}",{'all': 40},1578281970,"{'type': 1, 'id': 42, 'country': 'PG', 'sunrise': 1578254217, 'sunset': 1578299768}",36000,2088122,Port Moresby,200,,
146,"{'lon': 70.21, 'lat': 34.67}","[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,"{'temp': 42.8, 'feels_like': 39.54, 'temp_min': 42.8, 'temp_max': 42.8, 'pressure': 1024, 'humidity': 87}",8000.0,"{'speed': 1.57, 'deg': 108}",{'all': 75},1578281970,"{'type': 1, 'id': 7375, 'country': 'AF', 'sunrise': 1578277605, 'sunset': 1578313327}",16200,1133574,Mehtar Lam,200,{'1h': 0.25},
147,"{'lon': 122.67, 'lat': 11}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 79.36, 'feels_like': 80.17, 'temp_min': 79.36, 'temp_max': 79.36, 'pressure': 1012, 'humidity': 85, 'sea_level': 1012, 'grnd_level': 996}",,"{'speed': 16.37, 'deg': 45}",{'all': 97},1578281971,"{'country': 'PH', 'sunrise': 1578262165, 'sunset': 1578303579}",28800,1714733,Dingle,200,{'3h': 1.44},
148,"{'lon': -17.03, 'lat': 20.93}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 59, 'feels_like': 49.14, 'temp_min': 59, 'temp_max': 59, 'pressure': 1021, 'humidity': 51}",8000.0,"{'speed': 13.87, 'deg': 30}",{'all': 25},1578281944,"{'type': 1, 'id': 2444, 'country': 'MR', 'sunrise': 1578296770, 'sunset': 1578336050}",0,2377457,Nouadhibou,200,,
149,"{'lon': 95.51, 'lat': 26.99}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 52.77, 'feels_like': 51.33, 'temp_min': 52.77, 'temp_max': 52.77, 'pressure': 1023, 'humidity': 91, 'sea_level': 1023, 'grnd_level': 919}",,"{'speed': 2.8, 'deg': 283}",{'all': 22},1578281971,"{'country': 'IN', 'sunrise': 1578270481, 'sunset': 1578308304}",19800,1266668,Khonsa,200,{'3h': 0.31},
150,"{'lon': 39.82, 'lat': 64.56}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 15.8, 'feels_like': 6.51, 'temp_min': 15.8, 'temp_max': 15.8, 'pressure': 1011, 'humidity': 92}",10000.0,"{'speed': 6.71, 'deg': 250}",{'all': 75},1578281971,"{'type': 1, 'id': 8922, 'country': 'RU', 'sunrise': 1578294807, 'sunset': 1578310717}",10800,496285,Severodvinsk,200,,
151,"{'lon': 118.58, 'lat': -20.31}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 98.6, 'feels_like': 93.58, 'temp_min': 98.6, 'temp_max': 98.6, 'pressure': 1004, 'humidity': 32}",10000.0,"{'speed': 17.22, 'deg': 110, 'gust': 28.86}",{'all': 97},1578281971,"{'type': 1, 'id': 9585, 'country': 'AU', 'sunrise': 1578259894, 'sunset': 1578307814}",28800,2063042,Port Hedland,200,,
152,"{'lon': -107.24, 'lat': 41.79}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,"{'temp': 24.84, 'feels_like': 2.73, 'temp_min': 23, 'temp_max': 26.6, 'pressure': 1020, 'humidity': 73}",14484.0,"{'speed': 29.97, 'deg': 260, 'gust': 39.15}",{'all': 75},1578281972,"{'type': 1, 'id': 5731, 'country': 'US', 'sunrise': 1578234983, 'sunset': 1578268299}",-25200,5836068,Rawlins,200,,
153,"{'lon': 146.19, 'lat': 68.54}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': -20.85, 'feels_like': -28.07, 'temp_min': -20.85, 'temp_max': -20.85, 'pressure': 1023, 'humidity': 85, 'sea_level': 1023, 'grnd_level': 1017}",,"{'speed': 0.51, 'deg': 2}",{'all': 7},1578281972,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",39600,2126785,Belaya Gora,200,,
154,"{'lon': -73.76, 'lat': -42.48}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 50, 'feels_like': 46.49, 'temp_min': 50, 'temp_max': 50, 'pressure': 1017, 'humidity': 87}",10000.0,"{'speed': 4.7, 'deg': 270}",{'all': 48},1578281972,"{'type': 1, 'id': 8512, 'country': 'CL', 'sunrise': 1578302753, 'sunset': 1578357306}",-10800,3896218,Castro,200,{'3h': 0.44},
155,"{'lon': -70.2, 'lat': -22.09}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 52.38, 'feels_like': 47.68, 'temp_min': 52.38, 'temp_max': 52.38, 'pressure': 1018, 'humidity': 71, 'sea_level': 1018, 'grnd_level': 849}",,"{'speed': 5.57, 'deg': 6}",{'all': 0},1578281972,"{'country': 'CL', 'sunrise': 1578305011, 'sunset': 1578353338}",-10800,3869716,Tocopilla,200,,
156,"{'lon': -59.52, 'lat': 13.22}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09n'}]",stations,"{'temp': 73.4, 'feels_like': 74.66, 'temp_min': 73.4, 'temp_max': 73.4, 'pressure': 1014, 'humidity': 94}",8000.0,"{'speed': 12.75, 'deg': 90}",{'all': 75},1578281972,"{'type': 1, 'id': 8772, 'country': 'BB', 'sunrise': 1578219712, 'sunset': 1578260657}",-14400,3374083,Bathsheba,200,,
157,"{'lon': 31.15, 'lat': -0.41}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 60.75, 'feels_like': 62.82, 'temp_min': 60.75, 'temp_max': 60.75, 'pressure': 1014, 'humidity': 95, 'sea_level': 1014, 'grnd_level': 870}",,"{'speed': 1.68, 'deg': 28}",{'all': 97},1578281972,"{'country': 'UG', 'sunrise': 1578282987, 'sunset': 1578326700}",10800,229599,Lyantonde,200,{'3h': 1.81},
158,"{'lon': -71.08, 'lat': 19.55}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 73.24, 'feels_like': 81.34, 'temp_min': 71.6, 'temp_max': 75.2, 'pressure': 1017, 'humidity': 94}",10000.0,"{'speed': 0.45, 'deg': 160}",{'all': 75},1578281973,"{'type': 1, 'id': 7076, 'country': 'DO', 'sunrise': 1578223174, 'sunset': 1578262746}",-14400,3496831,Mao,200,,
159,"{'lon': 15.16, 'lat': -26.65}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 62.92, 'feels_like': 53.91, 'temp_min': 62.92, 'temp_max': 62.92, 'pressure': 1010, 'humidity': 85, 'sea_level': 1010, 'grnd_level': 1008}",,"{'speed': 20.76, 'deg': 171}",{'all': 0},1578281973,"{'country': 'NA', 'sunrise': 1578283946, 'sunset': 1578333418}",7200,3355672,Luderitz,200,,
160,"{'lon': 44.75, 'lat': -24.69}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 73.76, 'feels_like': 75.24, 'temp_min': 73.76, 'temp_max': 73.76, 'pressure': 1011, 'humidity': 75, 'sea_level': 1011, 'grnd_level': 976}",,"{'speed': 7.02, 'deg': 99}",{'all': 3},1578281973,"{'country': 'MG', 'sunrise': 1578277092, 'sunset': 1578326065}",10800,1078553,Ampanihy,200,,
161,"{'lon': 113.14, 'lat': 29.3}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 48.02, 'feels_like': 42.71, 'temp_min': 48.02, 'temp_max': 48.02, 'pressure': 1021, 'humidity': 91, 'sea_level': 1021, 'grnd_level': 1017}",,"{'speed': 7.56, 'deg': 7}",{'all': 100},1578281973,"{'country': 'CN', 'sunrise': 1578266547, 'sunset': 1578303773}",28800,1927639,Guozhen,200,{'3h': 0.13},
162,"{'lon': -174.35, 'lat': -19.8}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 84.2, 'feels_like': 88.43, 'temp_min': 84.2, 'temp_max': 84.2, 'pressure': 1011, 'humidity': 70}",10000.0,"{'speed': 9.17, 'deg': 110}",{'all': 20},1578281973,"{'type': 1, 'id': 7286, 'country': 'TO', 'sunrise': 1578330288, 'sunset': 1578378069}",46800,4032369,Pangai,200,,
163,"{'lon': 170.5, 'lat': -45.87}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 55.99, 'feels_like': 29.3, 'temp_min': 55.99, 'temp_max': 55.99, 'pressure': 993, 'humidity': 52}",,"{'speed': 42.99, 'deg': 292, 'gust': 54}",{'all': 70},1578281973,"{'type': 3, 'id': 75281, 'country': 'NZ', 'sunrise': 1578243342, 'sunset': 1578299437}",46800,2191562,Dunedin,200,{'1h': 3.05},
164,"{'lon': -70.21, 'lat': 44.1}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 18.18, 'feels_like': 10.45, 'temp_min': 12.99, 'temp_max': 23, 'pressure': 1011, 'humidity': 67}",16093.0,"{'speed': 3.36, 'deg': 320}",{'all': 1},1578281973,"{'type': 1, 'id': 4695, 'country': 'US', 'sunrise': 1578226548, 'sunset': 1578258954}",-18000,4969398,Lewiston,200,,
165,"{'lon': -13.65, 'lat': 28.96}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 63.63, 'feels_like': 59.2, 'temp_min': 62.6, 'temp_max': 64.4, 'pressure': 1025, 'humidity': 72}",10000.0,"{'speed': 10.29, 'deg': 340}",{'all': 18},1578281974,"{'type': 1, 'id': 2379, 'country': 'ES', 'sunrise': 1578296935, 'sunset': 1578334263}",0,2510485,Tias,200,{'3h': 0.19},
166,"{'lon': 174.91, 'lat': -41.21}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 67.21, 'feels_like': 54.03, 'temp_min': 64.99, 'temp_max': 69.8, 'pressure': 997, 'humidity': 37}",10000.0,"{'speed': 19.46, 'deg': 320}",{'all': 25},1578281974,"{'type': 1, 'id': 7358, 'country': 'NZ', 'sunrise': 1578243286, 'sunset': 1578297375}",46800,2188164,Lower Hutt,200,,
167,"{'lon': 113.57, 'lat': 56.17}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': -1.48, 'feels_like': -8.84, 'temp_min': -1.48, 'temp_max': -1.48, 'pressure': 1035, 'humidity': 91, 'sea_level': 1035, 'grnd_level': 863}",,"{'speed': 1.63, 'deg': 282}",{'all': 8},1578281974,"{'country': 'RU', 'sunrise': 1578272181, 'sunset': 1578297932}",28800,2016907,Severomuysk,200,,
168,"{'lon': 175.7, 'lat': -36.83}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 70, 'feels_like': 62.8, 'temp_min': 70, 'temp_max': 70, 'pressure': 1007, 'humidity': 57}",,"{'speed': 15.01, 'deg': 263, 'gust': 35.99}",{'all': 0},1578281974,"{'type': 3, 'id': 2002961, 'country': 'NZ', 'sunrise': 1578243894, 'sunset': 1578296388}",46800,2179103,Whitianga,200,,
169,"{'lon': 161.3, 'lat': 68.75}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': -9.81, 'feels_like': -19.05, 'temp_min': -9.81, 'temp_max': -9.81, 'pressure': 1023, 'humidity': 63, 'sea_level': 1023, 'grnd_level': 1021}",,"{'speed': 4.23, 'deg': 138}",{'all': 1},1578281882,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",39600,2126199,Cherskiy,200,,
170,"{'lon': 121.11, 'lat': 13.8}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 82.99, 'feels_like': 86.47, 'temp_min': 82.99, 'temp_max': 82.99, 'pressure': 1013, 'humidity': 74}",,"{'speed': 11.01, 'deg': 189, 'gust': 21.99}",{'all': 5},1578281821,"{'type': 3, 'id': 2011004, 'country': 'PH', 'sunrise': 1578262832, 'sunset': 1578303662}",28800,1726279,Sabang,200,,
171,"{'lon': -125.55, 'lat': 48.94}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 41, 'feels_like': 37.04, 'temp_min': 41, 'temp_max': 41, 'pressure': 1025, 'humidity': 90}",,"{'speed': 2.53, 'deg': 23}",{'all': 98},1578281877,"{'type': 3, 'id': 19458, 'country': 'CA', 'sunrise': 1578240928, 'sunset': 1578271146}",-28800,6171633,Ucluelet,200,{'1h': 0.25},
172,"{'lon': 74.57, 'lat': 13.97}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",model,"{'temp': 77.97, 'feels_like': 81.52, 'temp_min': 77.97, 'temp_max': 77.97, 'pressure': 1014, 'humidity': 70, 'sea_level': 1014, 'grnd_level': 1008}",,"{'speed': 4.99, 'deg': 117}",{'all': 84},1578281975,"{'country': 'IN', 'sunrise': 1578274021, 'sunset': 1578314818}",19800,1276067,Bhatkal,200,,
173,"{'lon': -48.54, 'lat': -27.15}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 73.42, 'feels_like': 78.98, 'temp_min': 70, 'temp_max': 75.2, 'pressure': 1007, 'humidity': 88}",10000.0,"{'speed': 3.36, 'deg': 300}",{'all': 40},1578281975,"{'type': 1, 'id': 8398, 'country': 'BR', 'sunrise': 1578299177, 'sunset': 1578348773}",-10800,3452900,Porto Belo,200,,
174,"{'lon': 11.87, 'lat': -4.77}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 78.8, 'feels_like': 89.62, 'temp_min': 78.8, 'temp_max': 78.8, 'pressure': 1009, 'humidity': 100}",8000.0,"{'speed': 3.36, 'deg': 100}",{'all': 40},1578281975,"{'type': 1, 'id': 2025, 'country': 'CG', 'sunrise': 1578287179, 'sunset': 1578331766}",3600,2258378,Loandjili,200,,
175,"{'lon': -130.32, 'lat': 54.32}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 39.2, 'feels_like': 31.28, 'temp_min': 39.2, 'temp_max': 39.2, 'pressure': 1014, 'humidity': 66}",14484.0,"{'speed': 6.93, 'deg': 210}",{'all': 90},1578281769,"{'type': 1, 'id': 883, 'country': 'CA', 'sunrise': 1578243651, 'sunset': 1578270713}",-28800,6113406,Prince Rupert,200,,
176,"{'lon': -81.03, 'lat': 34}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 40.1, 'feels_like': 33.19, 'temp_min': 35.01, 'temp_max': 45, 'pressure': 1022, 'humidity': 86}",16093.0,"{'speed': 7.14, 'deg': 246}",{'all': 1},1578281817,"{'type': 1, 'id': 3722, 'country': 'US', 'sunrise': 1578227401, 'sunset': 1578263297}",-18000,4575352,Columbia,200,,
177,"{'lon': 123.37, 'lat': 66.77}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': -11.67, 'feels_like': -27.78, 'temp_min': -11.67, 'temp_max': -11.67, 'pressure': 1019, 'humidity': 94, 'sea_level': 1019, 'grnd_level': 1013}",,"{'speed': 16.67, 'deg': 176}",{'all': 99},1578281976,"{'country': 'RU', 'sunrise': 1578277524, 'sunset': 1578287884}",32400,2012530,Zhigansk,200,,
178,"{'lon': -126.83, 'lat': 65.28}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': -36.4, 'feels_like': -45.83, 'temp_min': -36.4, 'temp_max': -36.4, 'pressure': 1024, 'humidity': 73}",48279.0,"{'speed': 4.14, 'deg': 319}",{'all': 5},1578281976,"{'type': 1, 'id': 951, 'country': 'CA', 'sunrise': 1578249200, 'sunset': 1578263488}",-25200,6089245,Norman Wells,200,,
179,"{'lon': 148.16, 'lat': -23.53}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 88.74, 'feels_like': 85.5, 'temp_min': 88, 'temp_max': 89.6, 'pressure': 1012, 'humidity': 43}",10000.0,"{'speed': 13.87, 'deg': 60, 'gust': 31.09}",{'all': 90},1578281976,"{'type': 1, 'id': 9524, 'country': 'AU', 'sunrise': 1578252406, 'sunset': 1578301099}",36000,2167426,Emerald,200,,
180,"{'lon': 36.2, 'lat': 36.95}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 45.86, 'feels_like': 35.78, 'temp_min': 44.6, 'temp_max': 48.2, 'pressure': 1014, 'humidity': 57}",10000.0,"{'speed': 11.41, 'deg': 20}",{'all': 75},1578281976,"{'type': 1, 'id': 6949, 'country': 'TR', 'sunrise': 1578286120, 'sunset': 1578321142}",10800,296852,Erzin,200,,
181,"{'lon': 112.52, 'lat': 29.72}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 45.14, 'feels_like': 38.77, 'temp_min': 45.14, 'temp_max': 45.14, 'pressure': 1021, 'humidity': 90, 'sea_level': 1021, 'grnd_level': 1017}",,"{'speed': 8.21, 'deg': 358}",{'all': 100},1578281976,"{'country': 'CN', 'sunrise': 1578266752, 'sunset': 1578303866}",28800,1788268,Dongsheng,200,{'3h': 0.19},
182,"{'lon': -18.09, 'lat': 65.68}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 33.8, 'feels_like': 26.04, 'temp_min': 33.8, 'temp_max': 33.8, 'pressure': 977, 'humidity': 86}",10000.0,"{'speed': 6.96, 'deg': 42}",{'all': 90},1578281977,"{'type': 1, 'id': 83, 'country': 'IS', 'sunrise': 1578309882, 'sunset': 1578323447}",0,2633274,Akureyri,200,,
183,"{'lon': 39.61, 'lat': 24.47}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 50, 'feels_like': 40.37, 'temp_min': 50, 'temp_max': 50, 'pressure': 1021, 'humidity': 29}",10000.0,"{'speed': 8.05, 'deg': 20}",{'all': 0},1578281958,"{'type': 1, 'id': 7415, 'country': 'SA', 'sunrise': 1578283588, 'sunset': 1578322037}",10800,109223,Medina,200,,
184,"{'lon': 16.13, 'lat': -22.35}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",model,"{'temp': 68.09, 'feels_like': 64.65, 'temp_min': 68.09, 'temp_max': 68.09, 'pressure': 1010, 'humidity': 29, 'sea_level': 1010, 'grnd_level': 886}",,"{'speed': 0.47, 'deg': 360}",{'all': 59},1578281977,"{'country': 'NA', 'sunrise': 1578284252, 'sunset': 1578332647}",7200,3353871,Otjimbingwe,200,,
185,"{'lon': 73.45, 'lat': 29.54}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",model,"{'temp': 57.6, 'feels_like': 47.44, 'temp_min': 57.6, 'temp_max': 57.6, 'pressure': 1020, 'humidity': 56, 'sea_level': 1020, 'grnd_level': 999}",,"{'speed': 14.81, 'deg': 77}",{'all': 100},1578281977,"{'country': 'IN', 'sunrise': 1578276105, 'sunset': 1578313271}",19800,1258950,Raisinghnagar,200,,
